Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
URBT,URBAN TV NETWORK CORP,Pink Limited,0.041750,-10.0216,"14,350 ",Common Stock,USA,California
TPRP,TOWER PROPERTIES CO NEW,Pink Limited,"19,710.000000",,0 ,Common Stock,USA,Missouri
CRBO,CARBON ENERGY CORP,Pink Limited,2.510000,-10.3571,513 ,Common Stock,USA,Colorado
PVSP,PERVASIP CORP NEW,Pink Limited,0.003500,6.0606,"89,471,414 ",Common Stock,USA,New York
TSPG,TGI SOLAR POWER GROUP INC,Pink Limited,0.009950,-0.5,"3,229,776 ",Common Stock,USA,New Jersey
VMHG,VICTORY MARINE HLDGS CORP,Pink Limited,3.290000,-8.8643,"352,867 ",Common Stock,USA,Florida
MRTI,MAXUS REALTY TRUST INC,Pink Limited,132.500000,-1.8519,211 ,Common Stock,USA,Missouri
VTMC,VALENTINE MARK CORP,Pink Limited,0.000300,,2 ,Common Stock,USA,New York
TORM,TOR MINERALS INTL INC,Pink Limited,2.300000,,0 ,Common Stock,USA,Texas
SORT,GUNTHER INTL LTD,Pink Limited,0.400000,,0 ,Common Stock,USA,Connecticut
TMLL,TELE GROUP CORP,Pink Limited,3.160000,,0 ,Common Stock,USA,New York
GPLA,GAMEPLAN INC,Pink Limited,0.305000,-15.2778,"21,670 ",Common Stock,USA,Illinois
FMNJ,FRANKLIN MINING INC,Pink Limited,0.025900,-4.9541,"203,660 ",Common Stock,USA,Nevada
VKSC,VISKASE COS INC,Pink Limited,1.400000,-4.1096,"3,600 ",Common Stock,USA,Illinois
BWTX,BAKKEN WATER TRANSFER SER,Pink Limited,0.015200,-5,"43,344 ",Common Stock,USA,North Dakota
DTRL,DETROIT LEGAL NEWS CO,Pink Limited,395.000000,,0 ,Common Stock,USA,Michigan
SMKG,SMART CARD MKTG SYS INC,Pink Limited,0.092000,-36.1111,"977,345 ",Common Stock,USA,Delaware
CMPD,COMPUMED INC,Pink Limited,0.262200,-3.5143,"3,243 ",Common Stock,USA,California
OBCN,OBOCON INC,Pink Limited,0.166000,-12.6316,"7,300 ",Common Stock,USA,Colorado
CLWY,CALLOWAY'S NURSERY INC,Pink Limited,15.000000,8.2251,"1,000 ",Common Stock,USA,Texas
CAWW,CCA INDUS INC,Pink Limited,2.500000,,0 ,Common Stock,USA,Pennsylvania
BONL,BONAL INTL INC,Pink Limited,1.400000,,0 ,Common Stock,USA,Michigan
FTDL,FIRSIME DESIGN LTD,Pink Limited,24.000000,6.5719,768 ,Common Stock,USA,Wisconsin
BKFG,BKF CAPITAL GROUP INC,Pink Limited,12.000000,,0 ,Common Stock,USA,California
ARCW,ARC GROUP WORLDWIDE INC,Pink Limited,0.860090,,10 ,Common Stock,USA,Florida
ACMT,ACMAT CORP,Pink Limited,37.000000,,0 ,Common Stock,USA,Connecticut
ACBD,ANNABIDIOL CORP,Pink Limited,0.760000,,0 ,Common Stock,USA,Massachusetts
CNGA,CONAIR CORPORATION NY,Pink Limited,0.711000,-18.2759,340 ,Common Stock,USA,New York
TMMI,TMM INC,Pink Limited,0.019940,0,"25,150 ",Common Stock,USA,South Carolina
RNVT,RENOVATE NEIGHBORHOODS,Pink Limited,0.065700,,10 ,Common Stock,USA,Georgia
NOXL,NOXEL CORP,Pink Limited,0.186500,,0 ,Common Stock,USA,Massachusetts
FTEG,FOR THE EARTH CORP,Pink Limited,0.001400,0,"631,621,027 ",Common Stock,USA,Arizona
QEPC,Q.E.P. CO INC,Pink Limited,25.000000,6.383,"1,439 ",Common Stock,USA,Florida
RWWI,RAND WORLDWIDE INC,Pink Limited,13.550000,0.1478,195 ,Common Stock,USA,Maryland
NRPI,NRP STONE INC,Pink Limited,0.098000,61.9835,"2,614,061 ",Common Stock,USA,Utah
PSGR,PERSHING RESOURCES CO INC,Pink Limited,0.041300,-9.8253,"77,071 ",Common Stock,USA,Nevada
AMEN,AMEN PROPERTIES INC,Pink Limited,385.000000,3.2172,2 ,Common Stock,USA,Texas
LVGI,LIMITLESS VENTURE GRP INC,Pink Limited,0.134650,4.786,"19,201 ",Common Stock,USA,Oklahoma
HOPS,BETWEEN DANDELIONS INC,Pink Limited,2.200000,-2.2222,"3,653 ",Common Stock,USA,New York
EBYH,E-BUY HOME INC,Pink Limited,0.261000,,0 ,Common Stock,USA,New York
ECGS,ECO-GROWTH STRATEGIES INC,Pink Limited,0.530000,-11.6667,"3,840 ",Common Stock,USA,California
HUBV,HUBB VENTURES INC,Pink Limited,2.000000,0,365 ,Common Stock,USA,Florida
LICT,LICT CORP,Pink Limited,"21,450.000000",,0 ,Common Stock,USA,New York
RLAB,REAL AMER CAP CORP,Pink Limited,0.060000,-3.2258,"31,000 ",Common Stock,USA,California
FCGY,FORECASTAGILITY CORP,Pink Limited,0.480000,,0 ,Common Stock,USA,California
GTRL,GET REAL USA INC,Pink Limited,0.270000,,0 ,Common Stock,USA,California
PIOE,P10 HOLDINGS INC,Pink Limited,6.600000,-2.9412,"21,076 ",Common Stock,USA,Texas
IBGR,NEXUS ENERGY SERVICES INC,Pink Limited,0.100000,10.742,"439,654 ",Common Stock,USA,Nevada
IMTL,IMAGE PROTECT INC,Pink Limited,0.009000,-15.8879,"343,486,430 ",Common Stock,USA,California
GIBX,GIB CAP GROUP INC,Pink Limited,0.958200,,0 ,Common Stock,USA,Nevada
VPER,VIPER NETWORKS INC,Pink Limited,0.017200,-4.4444,"56,266,454 ",Common Stock,USA,Michigan
GDET,GD ENTERTAIN & TECH NEW,Pink Limited,0.001800,-12.1951,"189,191,188 ",Common Stock,USA,New Jersey
ACPS,AC PARTNERS INC,Pink Limited,0.000000,,0 ,Common Stock,USA,Florida
ITNM,INTL MONETARY SYS LTD,Pink Limited,6.000000,,20 ,Common Stock,USA,Wisconsin
MAAL,MARKETING ALLIANCE INC,Pink Limited,2.750000,,0 ,Common Stock,USA,Missouri
TCPP,TRINITY CAP PARTNERS INC,Pink Limited,0.071000,,0 ,Common Stock,USA,New York
PCMC,PUBLIC COMPANY MGMT CORP,Pink Limited,0.290000,3.5714,"1,720 ",Common Stock,USA,California
CAFI,CONSUMER AUTOMOT FIN INC,Pink Limited,0.069900,,67 ,Common Stock,USA,Nevada
ZAAG,ZA GROUP INC.,Pink Limited,0.019800,-5.7143,"492,374 ",Common Stock,USA,Florida
VTNA,VETANOVA INC,Pink Limited,0.071000,,0 ,Common Stock,USA,Colorado
ONCI,ON4 COMMUNS INC,Pink Limited,0.001500,-11.7647,"104,457,098 ",Common Stock,USA,New York
CLRI,CLEARTRONIC INC,Pink Limited,0.055000,-6.7797,"26,517 ",Common Stock,USA,Florida
DSCR,DISCOVERY MINERALS LTD,Pink Limited,0.002700,12.5,"54,018,116 ",Common Stock,USA,Nevada
VRTB,VESTIN REALTY MTG II,Pink Limited,"1,300.000000",,0 ,Common Stock,USA,Nevada
VRTA,VESTIN RLTY MTG I INC,Pink Limited,3.000000,,0 ,Common Stock,USA,Nevada
WBSI,WEBSAFETY INC,Pink Limited,3.200000,105.6555,"31,332 ",Common Stock,USA,Nevada
GRLT,GRILLIT INC,Pink Limited,0.002200,7.3171,"20,580,498 ",Common Stock,USA,Maine
OCBM,PREFERRED COMMERCE INC,Pink Limited,0.350000,34.6154,"9,984 ",Common Stock,USA,Florida
ATCC,AMERITRUST CORPORATION,Pink Limited,0.201000,1.7722,"18,598 ",Common Stock,USA,Wyoming
TMSH,TRANSGLOBAL ASSETS INC,Pink Limited,0.015600,20,"6,575 ",Common Stock,USA,Wyoming
LFLS,LOANS4LESS.COM INC,Pink Limited,0.028000,0,"12,000 ",Common Stock,USA,California
LVCA,LAKE VICTORIA MNG CO INC,Pink Limited,0.029800,,0 ,Common Stock,USA,Utah
SSTT,SSTARTRADE TECH INC,Pink Limited,0.294000,,0 ,Common Stock,USA,New York
FLSS,FORBES ENE SVCS LTD,Pink Limited,0.158000,-11.236,600 ,Common Stock,USA,Texas
BLXX,BLOX INC,Pink Limited,0.011650,-0.8511,"723,660 ",Common Stock,USA,New York
CBTC,XTRA BITCOIN INC,Pink Limited,0.018500,0.8174,"14,389,417 ",Common Stock,USA,Idaho
PGVI,PROMITHIAN GLBL VNTR INC,Pink Limited,4.627500,-20.8974,821 ,Common Stock,USA,Utah
VIVK,VIVAKOR INC,Pink Limited,0.400000,11.1111,"45,411 ",Common Stock,USA,Utah
PCST,PURE CAPITAL SOLUTIONS,Pink Limited,0.102000,,0 ,Common Stock,USA,Utah
TEGY,TRANSACT ENERGY CORP,Pink Limited,0.079000,,3 ,Common Stock,USA,Texas
RRTS,ROADRUNNER TRANS SYS INC,Pink Limited,3.080000,-3.4483,"3,315 ",Common Stock,USA,Illinois
LIGA,LIG ASSETS INC,Pink Limited,0.005500,-9.8361,"3,246,975 ",Common Stock,USA,Tennessee
GWIN,GLORYWIN ENTMT GROUP INC,Pink Limited,0.101000,,2 ,Common Stock,USA,Massachusetts
ILUS,ILUSTRATO PICTURES INTL,Pink Limited,0.171360,0.8593,"22,175,223 ",Common Stock,USA,New York
GSTX,GRAPHENE & SOLAR TECHS,Pink Limited,1.045000,10,"3,306 ",Common Stock,USA,California
LTSY,LITIAN GROUP INC,Pink Limited,0.011100,,0 ,Common Stock,USA,Nevada
AVRN,AVRA INC,Pink Limited,0.067550,-10.5298,"553,097 ",Common Stock,USA,Georgia
THST,TRUETT-HURST INC A,Pink Limited,0.800000,29.0323,"1,000 ",Common Stock,USA,California
CATI,CLONE ALGO TECHS INC,Pink Limited,8.000000,,0 ,Common Stock,USA,Nevada
GJST,GEO JS TECH GROUP CORP,Pink Limited,0.055000,-17.9104,"20,000 ",Common Stock,USA,Texas
BMXC,BEMAX INC,Pink Limited,0.003000,25,"154,644,054 ",Common Stock,USA,Georgia
YECO,YULONG ECO MATERIALS LTD,Pink Limited,4.750000,-4.0404,"1,811 ",Common Stock,USA,Wyoming
VDKB,VODKA BRANDS CORP,Pink Limited,3.970000,,13 ,Common Stock,USA,Pennsylvania
IDVV,INTERNATIONAL ENDEAVORS,Pink Limited,0.007200,-3.6789,"493,260 ",Common Stock,USA,California
APQT,APPLIQATE INC,Pink Limited,0.140000,0.7194,"25,720 ",Common Stock,USA,Wyoming
ELLH,ELAH HLDGS INC,Pink Limited,75.000000,0,200 ,Common Stock,USA,Texas
SHOM,STHN HOME MED INC,Pink No Information,0.001500,-6.25,"10,984,787 ",Common Stock,USA,New York
YDVL,YADKIN VALLEY CO,Pink No Information,"12,000.000000",,0 ,Common Stock,USA,North Carolina
WNRC,WENR CORP,Pink No Information,0.003300,,0 ,Common Stock,USA,Florida
WVAW,WEST VIRGINIA WATER CO,Pink No Information,0.000000,,0 ,Common Stock,USA,West Virginia
WGNR,WEGENER CORP,Pink No Information,0.026400,,0 ,Common Stock,USA,Georgia
WEBC,WEBCO INDUSTRIES INC,Pink No Information,110.000000,,0 ,Common Stock,USA,Oklahoma
WXMN,WAXMAN INDUSTRIES INC,Pink No Information,3.250000,,0 ,Common Stock,USA,Ohio
OCLG,ONCOLOGIX TECH INC,Pink No Information,0.000700,0,"2,787,533 ",Common Stock,USA,Michigan
GRYEF,AU MIN AFRICA PTY LTD,Pink No Information,0.002600,-13.3333,"4,000 ",Common Stock,USA,Arizona
VULC,VULCAN INTL CORP,Pink No Information,8.100000,,0 ,Common Stock,USA,Tennessee
BNCM,BOUNCE MOBILE SYS INC,Pink No Information,0.150000,,0 ,Common Stock,USA,Florida
BSHI,BOSS HOLDINGS INC,Pink No Information,24.000000,,0 ,Common Stock,USA,Illinois
ZWBC,GOLDKEY CORPORATION,Pink No Information,0.650000,,0 ,Common Stock,USA,Missouri
VIPK,VIP*COMLINK INC,Pink No Information,0.120000,0,720 ,Common Stock,USA,Utah
VINS,VINDICATOR SILVER LEAD,Pink No Information,0.290900,,0 ,Common Stock,USA,Idaho
NUNZ,NUNZIA PHARMACEUTICL CORP,Pink No Information,1.950000,,0 ,Common Stock,USA,California
CUSI,CUISINE SOLUTIONS INC NEW,Pink No Information,15.000000,-0.6623,299 ,Common Stock,USA,Virginia
VCON,VICON INDUSTRIES INC,Pink No Information,39.990000,,2 ,Common Stock,USA,New York
SMRL,SIMTROL INC,Pink No Information,0.006000,,0 ,Common Stock,USA,Georgia
DYNE,DYNTEK INC NEW,Pink No Information,18.000000,,0 ,Common Stock,USA,California
UFMG,UNIVERSAL MFG CO NEB,Pink No Information,0.037000,,0 ,Common Stock,USA,Nebraska
TYTN,TYTAN HOLDINGS INC,Pink No Information,0.002500,-50,"181,104 ",Common Stock,USA,Washington
UTRX,UNITRONIX CORP,Pink No Information,0.007000,-29.2929,"11,000 ",Common Stock,USA,South Carolina
UMCN,UMC INC,Pink No Information,0.008000,0,"23,016 ",Common Stock,USA,Illinois
GLRP,GLEN ROSE PETE CORP,Pink No Information,0.003210,39.5652,"20,000 ",Common Stock,USA,Texas
UNRG,UNITED ENERGY CRP NEV,Pink No Information,0.049200,14.4186,"400,825 ",Common Stock,USA,Texas
GLCO,GLOBAL LINKS CORP,Pink No Information,0.002500,-13.7931,"10,113,302 ",Common Stock,USA,Nevada
UAHC,UNITED AMER HEALTHCARE CP,Pink No Information,0.035200,-21.1646,"47,701 ",Common Stock,USA,Illinois
ECGR,BELLATORA INC,Pink No Information,0.002100,,0 ,Common Stock,USA,Nevada
USRC,UNISOURCE CORP,Pink No Information,0.008200,0,"2,000 ",Common Stock,USA,Florida
GNCC,GENCO CORP,Pink No Information,0.014000,180,"3,050 ",Common Stock,USA,
ENVS,ENOVA SYSTEMS INC,Pink No Information,0.010000,-33.3333,"475,409 ",Common Stock,USA,California
LFPI,LIFEPOINT INC,Pink No Information,0.008500,70,"381,833 ",Common Stock,USA,California
ADVC,ADVANT-E CORP,Pink No Information,5.650000,,0 ,Common Stock,USA,Ohio
TTYP,TRINITY PETE TRUST CBI,Pink No Information,76.000000,0,1 ,Common Stock,USA,Texas
PERT,PERMANENT TECHS INC,Pink No Information,0.017900,,0 ,Common Stock,USA,Massachusetts
TGIC,TRIAD GUARANTY INC,Pink No Information,0.090000,14.3583,"10,300 ",Common Stock,USA,Alabama
ARET,ARETE INDUS INC,Pink No Information,0.148000,64.0798,"9,259 ",Common Stock,USA,Colorado
TRTI,TRANSTECH INDUS INC,Pink No Information,0.185000,,0 ,Common Stock,USA,New Jersey
CVST,COVISTA COMMUNS INC,Pink No Information,0.007100,121.875,591 ,Common Stock,USA,North Carolina
TORW,TORRINGTON WATER CO COM,Pink No Information,40.000000,,0 ,Common Stock,USA,Connecticut
TODM,TONOPAH DIVIDE MINING CO,Pink No Information,0.012000,,0 ,Common Stock,USA,Nevada
TIRTZ,TIDELANDS ROYALTY TR,Pink No Information,0.259000,,0 ,Common Stock,USA,Texas
TOOD,THERMWOOD CORP,Pink No Information,14.000000,,0 ,Common Stock,USA,Indiana
TDYT,THERMODYNETICS INC,Pink No Information,0.003000,,0 ,Common Stock,USA,Connecticut
GMNI,GEMINI GROUP GLOBAL CORP,Pink No Information,0.001900,5.8496,"2,852,500 ",Common Stock,USA,Texas
TAUX,TERRE AUX BOEUFS LAND COM,Pink No Information,250.000000,,0 ,Common Stock,USA,Louisiana
LGAH,LGA HOLDINGS INC,Pink No Information,0.026000,,0 ,Common Stock,USA,Colorado
TLLEQ,TELETOUCH COMMUNS INC,Pink No Information,0.005000,-57.9832,"10,500 ",Common Stock,USA,Texas
TSCC,TECHNOLOGY SLTNS CO,Pink No Information,0.067000,,0 ,Common Stock,USA,Illinois
TCGN,TECHNOLOGY GENERAL CORP,Pink No Information,0.065000,,0 ,Common Stock,USA,New Jersey
LEAS,STRATEGIC ASSET LEASING,Pink No Information,0.001850,-7.5,"6,551,307 ",Common Stock,USA,Wyoming
SIMC,SIMCLAR INC,Pink No Information,0.020000,,30 ,Common Stock,USA,Florida
ZNCM,ZUNICOM INC,Pink No Information,0.040000,,0 ,Common Stock,USA,Texas
TALC,TAL-CAP INC COM,Pink No Information,0.002100,,0 ,Common Stock,USA,Minnesota
TWAC,TWA CORP,Pink No Information,130.000100,,0 ,Common Stock,USA,California
MDCN,MEDICAN ENTERPRISES INC,Pink No Information,0.000900,0,"700,821,685 ",Common Stock,USA,Nevada
NSPT,NEWRON SPORT,Pink No Information,0.000450,-10,"10,171,996 ",Common Stock,USA,Nevada
VOQP,VIOQUEST PHARMS INC,Pink No Information,0.010000,,0 ,Common Stock,USA,Minnesota
ESGI,ENSURGE INC,Pink No Information,0.019000,,0 ,Common Stock,USA,California
DVLY,DEER VALLEY CORP,Pink No Information,0.930000,,0 ,Common Stock,USA,Alabama
SMRTQ,STEIN MART INC,Pink No Information,0.032925,-5.9286,"103,859 ",Common Stock,USA,Florida
STDE,STANDARD ENERGY CORP COM,Pink No Information,0.014900,-25.1256,"1,222 ",Common Stock,USA,Utah
STLM,ST ELMO SILVER,Pink No Information,0.299900,,0 ,Common Stock,USA,Idaho
GAFL,GREAT AMER FINCL CORP,Pink No Information,0.005000,,0 ,Common Stock,USA,Pennsylvania
SRLY,STHN REALTY CO CAL,Pink No Information,16.900000,,0 ,Common Stock,USA,California
SEDN,SED INTL HOLDINGS INC,Pink No Information,0.028000,,0 ,Common Stock,USA,Georgia
MGMA,METRO GLOBAL MEDIA INC,Pink No Information,0.032000,,0 ,Common Stock,USA,Rhode Island
SONR,SONAR RADIO CORP,Pink No Information,1.000000,,0 ,Common Stock,USA,Florida
SODI,SOLITRON DEVICES INC,Pink No Information,7.300000,1.3889,610 ,Common Stock,USA,Florida
SGTN,SOLIGEN TECHNOLOGIES INC,Pink No Information,0.008300,0,"26,247 ",Common Stock,USA,Texas
SOFT,SOFTECH INC,Pink No Information,0.650000,-0.3067,"3,000 ",Common Stock,USA,Massachusetts
BFHJ,BENEFICIAL HLDGS INC,Pink No Information,0.200000,,0 ,Common Stock,USA,New Jersey
SVMN,SILVERORE MINES INC IDAHO,Pink No Information,0.127000,5.8333,"1,000 ",Common Stock,USA,Oregon
SIVE,SILVER VERDE MAY MNG CO,Pink No Information,0.035000,-60.8939,"2,000 ",Common Stock,USA,Idaho
SLSR,SILVER SURPRIZE INC,Pink No Information,0.249000,,0 ,Common Stock,USA,Washington
GPIW,GRAND PERFECTA INC,Pink No Information,0.031000,,0 ,Common Stock,USA,Nevada
SILS,SILVER SCOTT MINES INC,Pink No Information,0.110000,-15.3846,"90,820 ",Common Stock,USA,Idaho
SBUM,SILVER BUCKLE MINES,Pink No Information,0.261900,,0 ,Common Stock,USA,Idaho
