Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Website,MainPhone,MainEmail,ContactName1,ContactTitle1,OTCMarketsURL
FRSB,FIRST RESOURCE BANK (PA),OTCQX U.S. Premier,9.85,-0.001,500,Common Stock,USA,Pennsylvania,http://www.firstresourcebank.com/,610-561-6014,lranalli@firstresourcebank.com,Glenn Marshall,"CEO, Co-Founder",https://www.otcmarkets.com/stock/FRSB/profile
TCNB,TOWN CENTER BANK (IL),OTCQX U.S. Premier,3.15,,0,Common Stock,USA,Illinois,,,,,,
SLNG,STABILIS SOLUTIONS INC,OTCQX U.S. Premier,6.99,6.7176,3363,Common Stock,USA,Texas,,,,,,
KSHB,KUSHCO HOLDINGS INC,OTCQX U.S. Premier,1.215,-8.3019,1019920,Common Stock,USA,California,,,,,,
CBBI,CBB BANCORP INC,OTCQX U.S. Premier,9.9,-0.2016,1450,Common Stock,USA,California,,,,,,
SOTK,SONO-TEK CORP,OTCQX U.S.,4.44,-1.7699,8363,Common Stock,USA,New York,,,,,,
SMDM,SINGING MACHINE CO INC,OTCQX U.S.,0.4113,,0,Common Stock,USA,Florida,,,,,,
CRMZ,CREDITRISKMONITOR.COM INC,OTCQX U.S.,2.4,,0,Common Stock,USA,New York,,,,,,
MACE,MACE SECURITY INTL INC,OTCQX U.S.,0.51,-3.7554,119225,Common Stock,USA,Ohio,,,,,,
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.73,-8.7386,27889,Common Stock,USA,New Jersey,,,,,,
DXLG,DESTINATION XL GROUP INC,OTCQX U.S.,0.857,-0.3488,429991,Common Stock,USA,Massachusetts,,,,,,
CTAM,CASTLE AM & CO,OTCQX U.S.,4.27,,15,Common Stock,USA,Illinois,,,,,,
BDCO,BLUE DOLPHIN ENERGY CO,OTCQX U.S.,0.515,2.4978,1840,Common Stock,USA,Texas,,,,,,
DVCR,DIVERSICARE HLTHCARE SVCS,OTCQX U.S.,3.01,-29.1765,6029,Common Stock,USA,Tennessee,,,,,,
DPSI,DECISIONPOINT SYST INC,OTCQX U.S.,2.5,-16.388,1361,Common Stock,USA,California,,,,,,
INBP,INTEGRATED BIOPHARMA INC,OTCQX U.S.,1.05,12.0598,37184,Common Stock,USA,New Jersey,,,,,,
HRTH,HARTE HANKS INC,OTCQX U.S.,4.58,0.6593,109,Common Stock,USA,Texas,,,,,,
FACO,FIRST ACCEPTANCE CORP,OTCQX U.S.,1.672,-1.6471,34601,Common Stock,USA,Tennessee,,,,,,
PLBN,PILOT BANCSHARES INC,OTCQX U.S.,3.7,,0,Common Stock,USA,Florida,,,,,,
AQSP,ACQUIRED SALES CORP,OTCQX U.S.,8,-2.9126,229,Common Stock,USA,Illinois,,,,,,
LWLG,LIGHTWAVE LOGIC INC,OTCQX U.S.,1.53,-5.5556,69322,Common Stock,USA,Colorado,,,,,,
IDXG,INTERPACE BIOSCIENCES INC,OTCQX U.S.,4.99,-1.3834,15146,Common Stock,USA,New Jersey,,,,,,
LONE,LONESTAR RESOURCES US,OTCQX U.S.,6,-7.6923,15249,Common Stock,USA,Texas,,,,,,
TRCK,TRACK GROUP INC,OTCQX U.S.,1.92,-2.5381,2520,Common Stock,USA,Illinois,,,,,,
TBTC,TABLE TRAC INC,OTCQX U.S.,3.04,,0,Common Stock,USA,Minnesota,,,,,,
UWHR,UWHARRIE CAPITAL CORP,OTCQX U.S.,6.75,0.7448,7794,Common Stock,USA,North Carolina,,,,,,
SIMP,SIMPLY INC,OTCQX U.S.,5.2,0,41600,Common Stock,USA,Florida,,,,,,
BASX,BASIC ENERGY SERVICES INC,OTCQX U.S.,0.295,-1.6667,27776,Common Stock,USA,Texas,,,,,,
LGIQ,LOGIQ INC,OTCQX U.S.,7.05,-2.7586,22720,Common Stock,USA,New York,,,,,,
ISCO,INTL STEM CELL CORP,OTCQX U.S.,0.65,-17.7215,122,Common Stock,USA,California,,,,,,
ZNOG,ZION OIL & GAS INC,OTCQX U.S.,0.71,-2.0284,290118,Common Stock,USA,Texas,,,,,,
GNRV,GRAND RIVER COMMERCE INC,OTCQX U.S.,7.35,-0.6757,3700,Common Stock,USA,Michigan,,,,,,
BTTR,BETTER CHOICE CO INC,OTCQX U.S.,1.52,-1.2987,82467,Common Stock,USA,Florida,,,,,,
COSM,COSMOS HOLDINGS INC,OTCQX U.S.,5.8,0,3956,Common Stock,USA,Illinois,,,,,,
TRTC,TERRA TECH CORP,OTCQX U.S.,0.39,0,837524,Common Stock,USA,California,,,,,,
INLB,ITEM 9 LABS CORP,OTCQX U.S.,3.89,14.4118,19422,Common Stock,USA,Arizona,,,,,,
MRMD,MARIMED INC,OTCQX U.S.,0.84,-1.1765,874270,Common Stock,USA,Massachusetts,,,,,,
TGEN,TECOGEN INC,OTCQX U.S.,1.8,4.6512,13022,Common Stock,USA,Massachusetts,,,,,,
FNGR,FINGERMOTION INC,OTCQX U.S.,9.6,-2.0408,4986,Common Stock,USA,New York,,,,,,
AKOM,AERKOMM INC,OTCQX U.S.,5.18,,0,Common Stock,USA,Nevada,,,,,,
SHWZ,MEDICINE MAN TECH INC,OTCQX U.S.,2.33,-1.4174,103514,Common Stock,USA,Colorado,,,,,,
CCNB,COASTAL CAROLINA BANC,OTCQX U.S.,8,0,12905,Common Stock,USA,South Carolina,,,,,,
CRSS,CROSSROADS SYS INC NEW,OTCQX U.S.,9.4,-5.0505,4535,Common Stock,USA,Texas,,,,,,
GBFH,GBANK FINL HLDGS INC,OTCQX U.S.,9.3,-2.0021,818,Common Stock,USA,Nevada,,,,,,
INBC,INBANKSHARES CORPORATION,OTCQX U.S.,8.1,,0,Common Stock,USA,Colorado,,,,,,
BBXIA,BBX CAPITAL INC A,OTCQX U.S.,6.3,1.6129,103831,Common Stock,USA,Florida,,,,,,
SNPX,SYNAPTOGENIX INC,OTCQX U.S.,2.12,1.9231,9123,Common Stock,USA,New York,,,,,,
LGCP,LEGION CAP CORP,OTCQX U.S.,1.6,-36.255,700,Common Stock,USA,Florida,,,,,,
TUEM,TUESDAY MORNING CORP NEW,OTCQX U.S.,2.97,2.0619,135248,Common Stock,USA,Texas,,,,,,
GUYGF,G2 GOLDFIELDS INC,OTCQX International,0.3332,,0,Common Stock,Canada,Ontario,,,,,,
WKSP,WORKSPORT LTD,OTCQB,0.3995,-2.0833,1631525,Common Stock,Canada,Ontario,,,,,,
DSGT,DSG GLOBAL INC,OTCQB,0.3925,-4.2683,672440,Common Stock,Canada,British Columbia,,,,,,
BNKL,BIONIK LABORATORIES CORP,OTCQB,2.68,11.6667,100,Common Stock,Canada,Ontario,,,,,,
SKKY,SKKYNET CLOUD SYSTEMS INC,OTCQB,1.45,,0,Common Stock,Canada,Ontario,,,,,,
FLCX,FLOOIDCX CORP,OTCQB,1.34,,0,Common Stock,Canada,Ontario,,,,,,
CBDY,TARGET GROUP INC,OTCQB,0.03,-5.0633,1426154,Common Stock,Canada,Ontario,,,,,,
ZPAS,ZOOMPASS HOLDINGS INC,OTCQB,0.29,-3.3333,74988,Common Stock,Canada,Ontario,,,,,,
SNRG,SUSGLOBAL ENERGY CORP,OTCQB,0.23,-4.1667,27000,Common Stock,Canada,Ontario,,,,,,
RLYGF,RILEY GOLD CORP,OTCQB,0,,0,Common Stock,Canada,British Columbia,,,,,,
