News,News_link
"GZ6G Technologies Completes Build-Out of Orange County Office, Adds 25 Staff Members in Past 15 Months",https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Completes-Build-Out-of-Orange-County-Office-Adds-25-Staff-Members-in-Past-15-Months?id=348701
GZ6G Technologies Issues Statement Regarding Unauthorized Stock Promotion,https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Issues-Statement-Regarding-Unauthorized-Stock-Promotion?id=342857
GZ6G Technologies Expands Software Development Team with Key Hires,https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Expands-Software-Development-Team-with-Key-Hires?id=341573
GZ6G Technologies Appoints PondelWilkinson to Lead Investor Relations Program,https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Appoints-PondelWilkinson-to-Lead-Investor-Relations-Program?id=337621
"GZ6G Technologies’ Media Sponsorship Opportunities Expand for National and Local Brands, Following Installation of Smart Solutions at MidAmerican Energy RecPlex in West Des Moines, Iowa",https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Media-Sponsorship-Opportunities-Expand-for-National-and-Local-Brands-Following-Installation-of-Smart-S?id=336542
GZ6G Technologies Advances FiBox Pro—Smart WiFi 6 Large Area Gateway with Built-In Captive Portal—Through Green Zebra Labs Division,https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Advances-FiBox-ProSmart-WiFi-6-Large-Area-Gateway-with-Built-In-Captive-PortalThrough-Green-Zebra-Labs?id=335559
"GZ6G Technologies Integrates Smart City and Smart Venue Cybersecurity Through Green Zebra Networks, as Cyber Attacks Run Rampant Nationwide",https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Integrates-Smart-City-and-Smart-Venue-Cybersecurity-Through-Green-Zebra-Networks-as-Cyber-Attacks-Run-?id=334710
"GZ6G Technologies Announces Partnership With Digideck, Cloud-Based Presentation Platform",https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Announces-Partnership-With-Digideck-Cloud-Based-Presentation-Platform?id=332319
"GZ6G Technologies Expands Managed Services Capabilities With Certified Network Engineer, Altabakh",https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Expands-Managed-Services-Capabilities-With-Certified-Network-Engineer-Altabakh?id=331613
"GZ6G Technologies (GZIC) Hires Dudenhoeffer as Director of Sponsorships, Brands, and Large Venue Media",https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-GZIC-Hires-Dudenhoeffer-as-Director-of-Sponsorships-Brands-and-Large-Venue-Media?id=329785
GZ6G Technologies Hires Helen Young as Director of Operations and IT Wireless Managed Network Services,https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Hires-Helen-Young-as-Director-of-Operations-and-IT-Wireless-Managed-Network-Services?id=328441
GZ6G Technologies Provides Q3 Highlights and Q4 Innovation and Operational Plans: OTCMarkets: OTCQB - Symbol GZIC,https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Provides-Q3-Highlights-and-Q4-Innovation-and-Operational-Plans-OTCMarkets-OTCQB---Symbol-GZIC?id=327193
OTC Markets Group Welcomes New OTCQB Companies – October 25,https://www.otcmarkets.com/stock/GZIc/news/OTC-Markets-Group-Welcomes-New-OTCQB-Companies--October-25?id=326866
GZ6G Technologies Announces Uplist to OTCQB Venture Market,https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Announces-Uplist-to-OTCQB-Venture-Market?id=326515
"GZ6G Technologies Corp. (OTCMARKETS: GZIC) Announces Smart Technology Installation Complete at MidAmerican Energy RecPlex for the City of West Des Moines, Iowa",https://www.otcmarkets.com/stock/GZIc/news/GZ6G-Technologies-Corp-OTCMARKETS-GZIC-Announces-Smart-Technology-Installation-Complete-at-MidAmerican-Energy-RecPlex-fo?id=324670
